TEAM,PLAYER,EA POSITION,OVR
"MICHIGAN STATE","Cam Edwards","RB","90"
"MICHIGAN STATE","Jaziun Patterson","RB","80"
"MICHIGAN STATE","Brandon Tullis","RB","78"
"MICHIGAN STATE","Fredrick Moore","WR","78"
"MICHIGAN STATE","KK Smith","WR","77"
"MICHIGAN STATE","Chrishon McCray","WR","85"
"MICHIGAN STATE","Bryson Williams","WR","77"
"MICHIGAN STATE","Brennan Parachek","TE","71"
"MICHIGAN STATE","Kai Rios","TE","72"
"MICHIGAN STATE","Liam Boyd","K","74"
"MINNESOTA","Drake Lindsey","QB","81"
"MINNESOTA","Max Shikenjanski","QB","68"
"MINNESOTA","Darius Taylor","RB","87"
"MINNESOTA","A.J. Turner","RB","79"
"MINNESOTA","Grant Washington","RB","79"
"MINNESOTA","Jalen Smith","WR","79"
"MINNESOTA","Perry Thompson","WR","76"
"MINNESOTA","Javon Tracy","WR","86"
"MINNESOTA","Noah Jennings","WR","70"
"MINNESOTA","Kaden Helms","TE","74"
"MINNESOTA","Pierce Walsh","TE","69"
"MINNESOTA","Beckham Sunderland","K","74"
"NEBRASKA","Anthony Colandrea","QB","87"
"NEBRASKA","TJ Lateef","QB","73"
"NEBRASKA","Isaiah Mozee","RB","78"
"NEBRASKA","Mekhi Nelson","RB","78"
"NEBRASKA","Kwinten Ives","RB","77"
"NEBRASKA","Nyziah Hunter","WR","86"
"NEBRASKA","Kwazi Gilmer","WR","85"
"NEBRASKA","Jacory Barney Jr.","WR","87"
"NEBRASKA","Quinn Clark","WR","73"
"NEBRASKA","Luke Lindenmeyer","TE","82"
"NEBRASKA","Carter Nelson","TE","75"
"NEBRASKA","Kyle Cunanan","K","82"
"NORTHWESTERN","Aidan Chiles","QB","80"
"NORTHWESTERN","Nicco Marchiol","QB","73"
"NORTHWESTERN","Caleb Komolafe","RB","86"
"NORTHWESTERN","Gavin Sawchuk","RB","80"
"NORTHWESTERN","Joseph Himon II","RB","81"
"NORTHWESTERN","Hayden Eligon II","WR","82"
"NORTHWESTERN","Griffin Wilde","WR","86"
"NORTHWESTERN","Drew Wagner","WR","77"
"NORTHWESTERN","Ricky Ahumaraeze","WR","76"
"NORTHWESTERN","Alex Honig","TE","73"
"NORTHWESTERN","Luke Dehnicke","TE","69"
"NORTHWESTERN","Jackson Kleather","K","79"
"OREGON","Dante Moore","QB","95"
"OREGON","Dylan Raiola","QB","82"
"OREGON","Jordon Davison","RB","87"
"OREGON","Dierre Hill Jr.","RB","85"
"OREGON","Da'Jaun Riggs","RB","73"
"OREGON","Evan Stewart","WR","87"
"OREGON","Dakorien Moore","WR","88"
"OREGON","Jeremiah McClellan","WR","86"
"OREGON","Gatlin Bair","WR","81"
"OREGON","Jamari Johnson","TE","90"
"OREGON","Andrew Olesh","TE","78"
"OREGON","Gage Hurych","K","78"
"PENN STATE","Rocco Becht","QB","88"
"PENN STATE","Alex Manske","QB","72"
"PENN STATE","Carson Hansen","RB","87"
"PENN STATE","James Peoples","RB","85"
"PENN STATE","Quinton Martin Jr.","RB","81"
"PENN STATE","Chase Sowell","WR","85"
"PENN STATE","Brett Eskildsen","WR","82"
"PENN STATE","Koby Howard","WR","76"
"PENN STATE","Zay Robinson","WR","74"
"PENN STATE","Benjamin Brahmer","TE","88"
"PENN STATE","Andrew Rappleyea","TE","81"
"PENN STATE","Ryan Barker","K","84"
"PURDUE","Ryan Browne","QB","75"
"PURDUE","Evans Chuba","QB","69"
"PURDUE","Fame Ijeboi","RB","83"
"PURDUE","Jerrick Gibson","RB","83"
"PURDUE","Antonio Harris","RB","66"
"PURDUE","Xavier Townsend","WR","81"
"PURDUE","Bisi Owens","WR","75"
"PURDUE","Asaad Waseem","WR","84"
"PURDUE","Jaylan Hornsby","WR","70"
"PURDUE","George Burhenn","TE","81"
"PURDUE","Kylan Fox","TE","77"
"PURDUE","Jacobo Lozano","K","80"
"RUTGERS","AJ Surace","QB","77"
"RUTGERS","Dylan Lonergan","QB","77"
"RUTGERS","Antwan Raymond","RB","92"
"RUTGERS","Clay Thevenin","RB","80"
"RUTGERS","Ja'shon Benjamin","RB","80"
"RUTGERS","KJ Duff","WR","92"
"RUTGERS","Ben Black","WR","80"
"RUTGERS","Jourdin Houston","WR","73"
"RUTGERS","Michael Thomas III","WR","73"
"RUTGERS","Logan Blake","TE","69"
"RUTGERS","Kameron Anthony","TE","70"
"RUTGERS","Jai Patel","K","78"
"UCLA","Nico Iamaleava","QB","87"
"UCLA","Madden Iamaleava","QB","75"
"UCLA","Wayne Knight","RB","90"
"UCLA","Anthony Woods","RB","80"
"UCLA","Jaivian Thomas","RB","80"
"UCLA","Leland Smith","WR","78"
"UCLA","Landon Ellis","WR","83"
"UCLA","Mikey Matthews","WR","83"
"UCLA","Aidan Mizell","WR","78"
"UCLA","Joshua Phifer","TE","67"
"UCLA","Brayden Loftin","TE","77"
"UCLA","Mateen Bhaghani","K","82"
"USC","Jayden Maiava","QB","92"
"USC","Sam Huard","QB","76"
"USC","Waymond Jordan","RB","88"
"USC","King Miller","RB","87"
"USC","Riley Wormley","RB","79"
"USC","Terrell Anderson","WR","86"
"USC","Tanook Hines","WR","79"
"USC","Zacharyus Williams","WR","80"
"USC","Corey Simms","WR","73"
"USC","Mark Bowman","TE","82"
"USC","Tucker Ashcraft","TE","75"
"USC","Ryon Sayeri","K","79"
"WASHINGTON","Demond Williams Jr.","QB","88"
"WASHINGTON","Elijah Brown","QB","73"
"WASHINGTON","Jayden Limar","RB","83"
"WASHINGTON","Jordan Washington","RB","81"
"WASHINGTON","Brian Bonner Jr.","RB","79"
"WASHINGTON","Christian Moss","WR","82"
"WASHINGTON","Rashid Williams","WR","77"
"WASHINGTON","Dezmen Roebuck","WR","87"
"WASHINGTON","Chris Lawson","WR","76"
"WASHINGTON","Decker DeGraaf","TE","84"
"WASHINGTON","Kade Eldridge","TE","74"
"WASHINGTON","Tyler Robles","K","79"
"WISCONSIN","Colton Joseph","QB","84"
"WISCONSIN","Deuce Adams","QB","65"
"WISCONSIN","Abu Sama III","RB","85"
"WISCONSIN","Darrion Dupree","RB","80"
"WISCONSIN","Bryan Jackson II","RB","80"
"WISCONSIN","Eugene Hilton Jr.","WR","75"
"WISCONSIN","Chris Brooks Jr.","WR","78"
"WISCONSIN","Tyrell Henry","WR","73"
"WISCONSIN","Jaylon Domingeaux","WR","71"
"WISCONSIN","Jacob Harris","TE","75"
"WISCONSIN","Grant Stec","TE","71"
"WISCONSIN","Gavin Lahm","K","81"
"BOSTON COLLEGE","Mason McKenzie","QB","73"
"BOSTON COLLEGE","Grayson Wilson","QB","71"
"BOSTON COLLEGE","Evan Dickens","RB","86"
"BOSTON COLLEGE","Nolan Ray","RB","81"
"BOSTON COLLEGE","Bo MacCormack III","RB","76"
"BOSTON COLLEGE","Javarius Green","WR","75"
"BOSTON COLLEGE","Reed Swanson","WR","76"
"BOSTON COLLEGE","Jaedn Skeete","WR","77"
"BOSTON COLLEGE","Dawson Pough","WR","76"
"BOSTON COLLEGE","Kaelan Chudzinski","TE","86"
"BOSTON COLLEGE","Cameron Kossmann","TE","73"
"BOSTON COLLEGE","Luca Lombardo","K","79"
"CALIFORNIA","Jaron-Keawe Sagapolutele","QB","85"
"CALIFORNIA","Jackson Brousseau","QB","75"
"CALIFORNIA","Adam Mohammed","RB","81"
"CALIFORNIA","Ashten Emory","RB","76"
"CALIFORNIA","Carter Vegas","RB","74"
"CALIFORNIA","Ian Strong","WR","90"
"CALIFORNIA","Chase Hendricks","WR","87"
"CALIFORNIA","Cooper Perry","WR","81"
"CALIFORNIA","Jordan King","WR","76"
"CALIFORNIA","Dorian Thomas","TE","89"
"CALIFORNIA","Mason Mini","TE","81"
"CALIFORNIA","Chase Meyer","K","78"
"CLEMSON","Christopher Vizzina","QB","75"
"CLEMSON","Chris Denson","QB","74"
"CLEMSON","Gideon Davidson","RB","84"
"CLEMSON","Chris Johnson Jr.","RB","83"
"CLEMSON","David Eziomume","RB","79"
"CLEMSON","Bryant Wesco Jr.","WR","88"
"CLEMSON","T.J. Moore","WR","89"
"CLEMSON","Naeem Burroughs","WR","82"
"CLEMSON","Cole Turner","WR","75"
"CLEMSON","Christian Bentancur","TE","76"
"CLEMSON","Olsen Patt-Henry","TE","78"
"CLEMSON","Nolan Hauser","K","81"
"DUKE","Walker Eget","QB","78"
"DUKE","Dan Mahan","QB","70"
"DUKE","Nate Sheppard","RB","90"
"DUKE","CJ Campbell Jr.","RB","83"
"DUKE","Wilhelm Daal","RB","81"
"DUKE","Jared Richardson","WR","77"
"DUKE","Javen Nicholas","WR","86"
"DUKE","Jayden Moore","WR","76"
"DUKE","Jaivon Solomon","WR","73"
"DUKE","Jeremiah Hasley","TE","87"
"DUKE","Nate Kurisky","TE","80"
"DUKE","Cosme Salas","K","79"
"FLORIDA STATE","Ashton Daniels","QB","77"
"FLORIDA STATE","Kevin Sperry","QB","74"
"FLORIDA STATE","Quintrevion Wisner","RB","89"
"FLORIDA STATE","Ousmane Kromah","RB","84"
"FLORIDA STATE","Samuel Singleton Jr.","RB","81"
"FLORIDA STATE","Duce Robinson","WR","92"
"FLORIDA STATE","Micahi Danzy","WR","84"
"FLORIDA STATE","Jayvan Boggs","WR","79"
"FLORIDA STATE","Tae'Shaun Gelsey","WR","74"
"FLORIDA STATE","Desirrio Riles","TE","80"
"FLORIDA STATE","Landen Thomas","TE","76"
"FLORIDA STATE","Gabe Panikowski","K","74"
"MIAMI","Darian Mensah","QB","91"
"MIAMI","Luke Nickel","QB","73"
"MIAMI","Mark Fletcher Jr.","RB","93"
"MIAMI","CharMar Brown","RB","85"
"MIAMI","Girard Pringle Jr.","RB","84"
"MIAMI","Malachi Toney","WR","96"
"MIAMI","Cooper Barkate","WR","90"
"MIAMI","Vandrevius Jacobs","WR","84"
"MIAMI","Cam Vaughn","WR","86"
"MIAMI","Elija Lofton","TE","83"
"MIAMI","Luka Gilbert","TE","75"
"MIAMI","Jack Olsen","K","80"
"GEORGIA TECH","Alberto Mendoza","QB","76"
"GEORGIA TECH","Graham Knowles","QB","70"
"GEORGIA TECH","Justice Haynes","RB","85"
"GEORGIA TECH","Malachi Hosley","RB","83"
"GEORGIA TECH","Trelain Maddox","RB","77"
"GEORGIA TECH","Isaiah Fuhrmann","WR","84"
"GEORGIA TECH","Jordan Allen","WR","81"
"GEORGIA TECH","Jaiven Plummer","WR","73"
"GEORGIA TECH","Chris Corbo","TE","70"
"GEORGIA TECH","Gavin Harris","TE","79"
"GEORGIA TECH","Aidan Birr","K","83"
"LOUISVILLE","Lincoln Kienholz","QB","81"
"LOUISVILLE","Davin Wydner","QB","74"
"LOUISVILLE","Isaac Brown","RB","92"
"LOUISVILLE","Keyjuan Brown","RB","87"
"LOUISVILLE","Marquise Davis","RB","80"
"LOUISVILLE","Tre Richardson","WR","86"
"LOUISVILLE","Lawayne McCoy","WR","84"
"LOUISVILLE","TreyShun Hurry","WR","78"
"LOUISVILLE","Terrence McWilliams Jr.","WR","71"
"LOUISVILLE","Brody Foley","TE","85"
"LOUISVILLE","Jaleel Skinner","TE","81"
"LOUISVILLE","Nick Keller","K","77"
"NORTH CAROLINA","Billy Edwards Jr.","QB","77"
"NORTH CAROLINA","Miles O'Neill","QB","71"
"NORTH CAROLINA","Demon June","RB","84"
"NORTH CAROLINA","Benjamin Hall","RB","81"
"NORTH CAROLINA","Kaleb Jackson","RB","81"
"NORTH CAROLINA","Jordan Shipp","WR","83"
"NORTH CAROLINA","Trech Kekahuna","WR","78"
"NORTH CAROLINA","Nathan Leacock","WR","78"
"NORTH CAROLINA","Madrid Tucker","WR","74"
"NORTH CAROLINA","Jelani Thurman","TE","81"
"NORTH CAROLINA","Jordan Washington","TE","76"
"NORTH CAROLINA","Aeron Burrell","K","82"
"NC STATE","CJ Bailey","QB","84"
"NC STATE","Will Wilson","QB","74"
"NC STATE","Jayden ""Duke"" Scott","RB","81"
"NC STATE","Davion Gause","RB","80"
"NC STATE","Jonathan Paylor","RB","75"
"NC STATE","Victor Snow","WR","88"
"NC STATE","Keenan Jackson","WR","81"
"NC STATE","Teddy Hoffmann","WR","79"
"NC STATE","Joshisa ""Jojo"" Trader","WR","79"
"NC STATE","Preston Douglas","TE","72"
"NC STATE","Vander Ploog","TE","76"
"NC STATE","Kanoah Vinesett","K","78"
"PITTSBURGH","Mason Heintschel","QB","83"
"PITTSBURGH","Holden Geriner","QB","72"
"PITTSBURGH","Ja'Kyrian Turner","RB","86"
"PITTSBURGH","La'Vell Wright","RB","82"
"PITTSBURGH","Damon Ferguson Jr.","RB","76"
"PITTSBURGH","Malik Knight","WR","75"
"PITTSBURGH","Cataurus Hicks","WR","81"
"PITTSBURGH","Bryce Yates","WR","78"
"PITTSBURGH","Tony Kinsler","WR","74"
"PITTSBURGH","Carson Kent","TE","75"
"PITTSBURGH","Elijah Lagg","TE","72"
"PITTSBURGH","Sam Hunsaker","K","75"
"SMU","Kevin Jennings","QB","89"
"SMU","Ty Hawkins","QB","75"
"SMU","Kendrick Raphael","RB","87"
"SMU","Derrick McFall","RB","80"
"SMU","Dramekco Green","RB","80"
"SMU","Yamir Knight","WR","85"
"SMU","Yannick Smith","WR","82"
"SMU","Jalen Cooper","WR","79"
"SMU","Carterrious Brown","WR","75"
"SMU","Theo Melin Ohrstrom","TE","82"
"SMU","Randy Pittman Jr.","TE","81"
"SMU","Nick Reed","K","76"
"STANFORD","Davis Warren","QB","74"
"STANFORD","Dylan Rizk","QB","73"
"STANFORD","Micah Ford","RB","81"
"STANFORD","Sedrick Irvin","RB","76"
"STANFORD","Tuna Altahir","RB","75"
"STANFORD","Carter Shaw","WR","76"
"STANFORD","JonAnthony Hall","WR","76"
"STANFORD","Nico Brown","WR","77"
"STANFORD","Caden High","WR","76"
"STANFORD","Benji Blackburn","TE","74"
"STANFORD","Chico Holt","TE","70"
"STANFORD","Emmet Kenney","K","78"
"SYRACUSE","Steve Angeli","QB","81"
"SYRACUSE","Amari Odom","QB","78"
"SYRACUSE","Ahmad Miller","RB","82"
"SYRACUSE","Ju'Juan Johnson","RB","79"
"SYRACUSE","Tylik Hill","RB","76"
"SYRACUSE","Cole Weaver","WR","81"
"SYRACUSE","Zamondre Merriweather","WR","79"
"SYRACUSE","Darien Williams","WR","77"
"SYRACUSE","Bryan Wilder","WR","77"
"SYRACUSE","David Clement","TE","75"
"SYRACUSE","Noah Meyers","TE","75"
"SYRACUSE","Tripp Woody","K","76"
"VIRGINIA","Beau Pribula","QB","79"
"VIRGINIA","Eli Holstein","QB","79"
"VIRGINIA","Peyton Lewis","RB","85"
"VIRGINIA","Jekail Middlebrook","RB","85"
"VIRGINIA","Solomon Beebe","RB","80"
"VIRGINIA","Jacquon Gibson","WR","80"
"VIRGINIA","Rico Flores Jr.","WR","82"
"VIRGINIA","Kameron Courtney","WR","79"
"VIRGINIA","Dillon Newton-Short","WR","72"
"VIRGINIA","Dakota Twitty","TE","78"
"VIRGINIA","John Rogers","TE","74"
"VIRGINIA","Will Bettridge","K","78"
"VIRGINIA TECH","Ethan Grunkemeyer","QB","78"
"VIRGINIA TECH","Bryce Baker","QB","72"
"VIRGINIA TECH","Marcellous Hawkins","RB","85"
"VIRGINIA TECH","Bill Davis","RB","83"
"VIRGINIA TECH","Jeffrey Overton Jr.","RB","80"
"VIRGINIA TECH","Que'Sean Brown","WR","85"
"VIRGINIA TECH","Ayden Greene","WR","83"
"VIRGINIA TECH","Marlion Jackson","WR","75"
"VIRGINIA TECH","Keylen ""Brodie"" Adams","WR","69"
"VIRGINIA TECH","Benji Gosnell","TE","84"
"VIRGINIA TECH","Luke Reynolds","TE","84"
"VIRGINIA TECH","John Love","K","83"
"WAKE FOREST","Gio Lopez","QB","79"
"WAKE FOREST","Steele Pizzella","QB","73"
"WAKE FOREST","Ty Clark III","RB","79"
"WAKE FOREST","KD Daniels","RB","78"
"WAKE FOREST","Sawyer Seidl","RB","77"
"WAKE FOREST","Carlos Hernandez","WR","85"
"WAKE FOREST","Antonio Meeks","WR","77"
"WAKE FOREST","Kam Shanks","WR","81"
"WAKE FOREST","Ny Carr","WR","76"
"WAKE FOREST","Kamrean Johnson","TE","76"
"WAKE FOREST","Landon Morris","TE","72"
"WAKE FOREST","Connor Calvert","K","78"
"ALABAMA","Keelon Russell","QB","82"
"ALABAMA","Austin Mack","QB","82"
"ALABAMA","Daniel Hill","RB","83"
"ALABAMA","Kevin Riley","RB","82"
"ALABAMA","AK Dear","RB","82"
"ALABAMA","Noah Rogers","WR","84"
"ALABAMA","Ryan Coleman-Williams","WR","91"
"ALABAMA","Lotzeir Brooks","WR","82"
"ALABAMA","Cederian Morgan","WR","78"
"ALABAMA","Kaleb Edwards","TE","78"
"ALABAMA","Jay Lindsey","TE","75"
"ALABAMA","Conor Talty","K","73"
"ARKANSAS","KJ Jackson","QB","74"
"ARKANSAS","AJ Hill","QB","72"
"ARKANSAS","Braylen Russell","RB","86"
"ARKANSAS","Jasper Parker","RB","75"
"ARKANSAS","Sutton Smith","RB","85"
"ARKANSAS","Donovan Faupel","WR","83"
"ARKANSAS","Chris Marshall","WR","81"
"ARKANSAS","Jamari Hawkins","WR","85"
"ARKANSAS","Jalen Brown","WR","79"
"ARKANSAS","Jaden Platt","TE","80"
"ARKANSAS","Ty Lockwood","TE","71"
"ARKANSAS","Max Gilbert","K","75"
"AUBURN","Byrum Brown","QB","89"
"AUBURN","Tristan Ti'a","QB","73"
"AUBURN","Jeremiah Cobb","RB","88"
"AUBURN","Bryson Washington","RB","87"
"AUBURN","Nykahi Davenport","RB","79"
"AUBURN","Jeremiah Koger","WR","81"
"AUBURN","Keshaun Singleton","WR","88"
"AUBURN","Chas Nimrod","WR","82"
"AUBURN","Brian Williams Jr.","WR","78"
"AUBURN","Jonathan Echols","TE","78"
"AUBURN","Jake Johnson","TE","82"
"AUBURN","Alex McPherson","K","84"
"FLORIDA","Aaron Philo","QB","75"
"FLORIDA","Tramell Jones Jr.","QB","75"
"FLORIDA","Jadan Baugh","RB","91"
"FLORIDA","Evan Pryor","RB","83"
"FLORIDA","London Montgomery","RB","81"
"FLORIDA","Dallas Wilson","WR","84"
"FLORIDA","Eric Singleton Jr.","WR","90"
"FLORIDA","Vernell Brown III","WR","87"
"FLORIDA","TJ Abrams","WR","80"
"FLORIDA","Luke Harpring","TE","76"
"FLORIDA","Amir Jackson","TE","74"
"FLORIDA","Patrick Durkin","K","80"
"GEORGIA","Gunner Stockton","QB","87"
"GEORGIA","Ryan Puglisi","QB","77"
"GEORGIA","Nate Frazier","RB","90"
"GEORGIA","Chauncey Bowens","RB","85"
"GEORGIA","Dante Dowdell","RB","83"
"GEORGIA","Isiah Canion","WR","85"
"GEORGIA","London Humphreys","WR","83"
"GEORGIA","Sacovie White-Helton","WR","80"
"GEORGIA","CJ Wiley","WR","78"
"GEORGIA","Lawson Luckie","TE","81"
"GEORGIA","Jaden Reddell","TE","74"
"GEORGIA","Peyton Woodring","K","86"
"KENTUCKY","Kenny Minchey","QB","80"
"KENTUCKY","Matt Ponatoski","QB","76"
"KENTUCKY","CJ Baxter","RB","85"
"KENTUCKY","Jovantae Barnes","RB","81"
"KENTUCKY","Jason Patterson","RB","80"
"KENTUCKY","DJ Miller","WR","77"
"KENTUCKY","Nic Anderson","WR","83"
"KENTUCKY","Shane Carr","WR","80"
"KENTUCKY","Hardley Gilmore IV","WR","77"
"KENTUCKY","Willie Rodriguez","TE","79"
"KENTUCKY","Henry Boyer","TE","75"
"KENTUCKY","Jacob Kauwe","K","77"
"LSU","Sam Leavitt","QB","90"
"LSU","Landen Clark","QB","78"
"LSU","Harlem Berry","RB","86"
"LSU","Caden Durham","RB","86"
"LSU","Dilin Jones","RB","81"
"LSU","Jayce Brown","WR","88"
"LSU","Jackson Harris","WR","89"
"LSU","Winston Watkins Jr.","WR","86"
"LSU","Malik Elzy","WR","79"
"LSU","Trey'Dez Green","TE","92"
"LSU","Malachi Thomas","TE","77"
"LSU","Scott Starzyk","K","78"
"OLE MISS","Trinidad Chambliss","QB","93"
"OLE MISS","Deuce Knight","QB","79"
"OLE MISS","Kewan Lacy","RB","96"
"OLE MISS","Makhi Frazier","RB","81"
"OLE MISS","Joshua Dye","RB","74"
"OLE MISS","Deuce Alexander","WR","85"
"OLE MISS","Darrell Gill Jr.","WR","82"
"OLE MISS","Johntay Cook II","WR","84"
"OLE MISS","Cameron Miller","WR","74"
"OLE MISS","Luke Hasz","TE","87"
"OLE MISS","Brady Prieskorn","TE","73"
"OLE MISS","Lucas Carneiro","K","86"
"MISSISSIPPI STATE","KaMario Taylor","QB","83"
"MISSISSIPPI STATE","AJ Swann","QB","74"
"MISSISSIPPI STATE","Fluff Bothwell","RB","88"
"MISSISSIPPI STATE","Xavier Gayten","RB","77"
"MISSISSIPPI STATE","Kolin Wilson","RB","76"
"MISSISSIPPI STATE","Marquis Johnson","WR","77"
"MISSISSIPPI STATE","Ayden Williams","WR","82"
"MISSISSIPPI STATE","Anthony Evans III","WR","85"
"MISSISSIPPI STATE","Zion Ragins","WR","77"
"MISSISSIPPI STATE","Sam West","TE","77"
"MISSISSIPPI STATE","Riley Williams","TE","71"
"MISSISSIPPI STATE","Kyle Ferrie","K","80"
"MISSOURI","Austin Simmons","QB","81"
"MISSOURI","Nick Evers","QB","72"
"MISSOURI","Ahmad Hardy","RB","96"
"MISSOURI","Jamal Roberts","RB","87"
"MISSOURI","Xai'Shaun Edwards","RB","75"
"MISSOURI","Donovan Olugbode","WR","84"
"MISSOURI","Caleb Goodie","WR","81"
"MISSOURI","Cayden Lee","WR","88"
"MISSOURI","Kenric Lanier II","WR","77"
"MISSOURI","Brett Norfleet","TE","86"
"MISSOURI","Jordon Harris","TE","76"
"MISSOURI","Blake Craig","K","79"
"OKLAHOMA","John Mateer","QB","89"
"OKLAHOMA","Whitt Newbauer","QB","76"
"OKLAHOMA","Xavier Robinson","RB","83"
"OKLAHOMA","Tory Blaylock","RB","83"
"OKLAHOMA","Lloyd Avant","RB","82"
"OKLAHOMA","Trell Harris","WR","87"
"OKLAHOMA","Parker Livingstone","WR","83"
"OKLAHOMA","Isaiah Sategna III","WR","90"
"OKLAHOMA","Jer'Michael Carter","WR","76"
"OKLAHOMA","Hayden Hansen","TE","85"
"OKLAHOMA","Rocky Beers","TE","85"
"SOUTH CAROLINA","LaNorris Sellers","QB","86"
"SOUTH CAROLINA","Cutter Woods","QB","75"
"SOUTH CAROLINA","Matt Fuller","RB","79"
"SOUTH CAROLINA","Jawarn Howell","RB","79"
"SOUTH CAROLINA","Christian Clark","RB","79"
"SOUTH CAROLINA","Nitro Tuggle","WR","81"
"SOUTH CAROLINA","Nyck Harbor","WR","86"
"SOUTH CAROLINA","Jayden Sellers","WR","80"
"SOUTH CAROLINA","Jayden Gibson","WR","79"
"SOUTH CAROLINA","Brady Hunt","TE","79"
"SOUTH CAROLINA","Max Drag","TE","65"
"SOUTH CAROLINA","Upton Bellenfant","K","72"
"TENNESSEE","George MacIntyre","QB","80"
"TENNESSEE","Faizon Brandon","QB","77"
"TENNESSEE","DeSean Bishop","RB","90"
"TENNESSEE","Daune Morris","RB","78"
"TENNESSEE","Javin Gordon","RB","82"
"TENNESSEE","Mike Matthews","WR","86"
"TENNESSEE","Radarious Jackson","WR","80"
"TENNESSEE","Braylon Staley","WR","88"
"TENNESSEE","TK Keys","WR","78"
"TENNESSEE","Ethan Davis","TE","82"
"TENNESSEE","DaSaahn Brame","TE","76"
"TENNESSEE","Cooper Ranvier","K","78"
"TEXAS","Arch Manning","QB","91"
"TEXAS","Karle Lacey Jr.","QB","74"
"TEXAS","Hollywood Smothers","RB","89"
"TEXAS","Raleek Brown","RB","88"
"TEXAS","James Simon","RB","83"
"TEXAS","Cam Coleman","WR","92"
"TEXAS","Ryan Wingo","WR","87"
"TEXAS","Emmett Mosley V","WR","84"
"TEXAS","Sterling Berkhalter","WR","77"
"TEXAS","Nick Townsend","TE","77"
"TEXAS","Michael Masunas","TE","75"
"TEXAS","Gianni Spetic","K","79"
"TEXAS A&M","Marcel Reed","QB","88"
"TEXAS A&M","Brady Hart","QB","73"
"TEXAS A&M","Rueben Owens II","RB","87"
"TEXAS A&M","Jamarion Morrow","RB","81"
"TEXAS A&M","KJ Edwards","RB","81"
"TEXAS A&M","Isaiah Horton","WR","87"
"TEXAS A&M","Ashton Bethel-Roman","WR","81"
