branch,sha,classification,ahead_of_pr24,behind_pr24,changed_files,migration_files,selected_for_pr24,decision,rationale
origin/codex/waiver-wire-production-v2,01294f00c40aaa72e4ea1c825085ab5090117ec5,ALREADY_CONTAINED,0,68,0,0,no,already_included,Ancestor of PR #24.
origin/feature/achitecture_cleanup,7c229f160b149a02f833a283199e48e83242ecaa,ALREADY_CONTAINED,0,124,0,0,no,already_included,Ancestor of PR #24.
origin/feature/create-join-league,5618fa9d9c7dc3311eadc9bf0d3538c9277df571,INCOMPATIBLE_HISTORY,12,147,n/a,n/a,no,excluded,No merge base with PR #24; create and join flows already have release coverage in the target.
origin/feature/join-create-league,e1f405480f435528ce014688ee2393fce06d60e2,INCOMPATIBLE_HISTORY,11,147,n/a,n/a,no,excluded,No merge base with PR #24; cannot safely integrate during a release freeze.
origin/feature/matchup-test-branch,9973156050984f611d44c00fe2fdffd6a6c95f25,BULK_UNVALIDATED,8,120,133,4,no,excluded,Large mixed matchup and trade stack with migrations; requires separate review and testing.
origin/feature/mock-draft-lobby-multiplayer,308ccdd864c13ac702857c449a347a5de16c2e6e,BULK_UNVALIDATED,3,120,155,14,no,excluded,Large draft rewrite with 14 migrations; current target has dedicated draft fixes.
origin/feature/scoring-engine,6cf65c2b9cdaf4d1599050e75343d76e1d0930af,ALREADY_CONTAINED,0,117,0,0,no,already_included,Ancestor of PR #24.
origin/feature/scoring-engine-v2,781669fa63dfd0391c4214cc6baabc15f2f58361,SCORING_DEFERRED,4,116,40,3,no,excluded,Beta does not enable live scoring; post-beta scoring work cannot enter the release candidate.
origin/feature/scoring-engine-v3,ddf94e6129e6903830323095b7de8d6b1464bfd4,SCORING_DEFERRED,9,116,250,21,no,excluded,Beta does not enable live scoring; large ingestion and worker changes are deferred.
origin/feature/scoring-worker-hardening,ecd43f602387ae2015c479afcb23f4113d19c05e,SCORING_DEFERRED,2,116,9,0,no,excluded,Beta does not enable live scoring; target retains only safe lifecycle behavior.
origin/feature/scoring-worker-reliability,d3247a3629ffba8990e6f393187de6d9860e99a7,SCORING_DEFERRED,3,116,17,1,no,excluded,Beta does not enable live scoring; worker reliability changes require post-beta validation.
origin/feature/single-player-mock-draft-cleanup,4075897fc4f561a3fa759c919f84ad9d2c958418,BULK_UNVALIDATED,2,120,39,1,no,excluded,Divergent mock draft styling and lifecycle stack; target has targeted mock-draft repairs.
origin/feature/trade-offer-lifecycle,58218158246d522342187b8168fbdca0fabb13ab,ALREADY_CONTAINED,0,94,0,0,no,already_included,Ancestor of PR #24.
origin/hardening/fantasy-integrity,fdbddde7cb854c6917dffd038c0bf83fe207345c,UNTRUSTED_DIRTY_SOURCE,2,93,87,6,no,excluded,Source worktree was corrupted and dirty; current target includes reviewed canonical-pool and workflow hardening instead.
origin/hardening/fantasy-integrity-recovered,daa0d918170b214da7245d05894d67c0718b8495,ALREADY_CONTAINED,0,88,0,0,no,already_included,Ancestor of PR #24.
origin/release/beta-integration,09e3c1d6abe8cd887063423a73f4249ad562cd9d,ALREADY_CONTAINED,0,65,0,0,no,already_included,Ancestor of PR #24.
origin/release/public-beta-rc1,42ffabd39eacd2becabd0c80154af55269239ca9,SUPERSEDED,4,58,20,0,no,excluded,PR #24 adds the later runtime provenance contract and records the newer validation baseline.
