source_sheet,TEAM,POSITION,PLAYER,COMP.,ATTEMPTS,PASS YDS,PASS TDS,INTS,RUSH YDS,RUSH TDS,RECEPTIONS,REC YDS,REC TDS,FG,XP,FANTASY PROJ.
Big10,PENN STATE,TE1B,Andrew Rappleyea,0,0,0,0,0,0,0,26,315,3,0,0,75.5
Big10,PENN STATE,K,Ryan Barker,0,0,0,0,0,0,0,0,0,0,20,68,128
Big10,PURDUE,QB1,Ryan Browne,227,364,2765,20,11,425,7,0,0,0,0,0,293.1
Big10,PURDUE,QB2,Evans Chuba,26,40,305,2,1,55,1,0,0,0,0,0,37.7
Big10,PURDUE,RB1,Fame Ijeboi,0,0,0,0,0,885,8,20,165,1,0,0,193.5
Big10,PURDUE,RB2,Jerrick Gibson,0,0,0,0,0,560,5,15,130,1,0,0,128
Big10,PURDUE,RB3,Antonio Harris,0,0,0,0,0,285,3,7,55,0,0,0,58.5
Big10,PURDUE,WR1,Xavier Townsend,0,0,0,0,0,55,1,64,905,7,0,0,248.5
Big10,PURDUE,WR2,Bisi Owens,0,0,0,0,0,15,0,47,675,5,0,0,145.5
Big10,PURDUE,WR3,Asaad Waseem,0,0,0,0,0,10,0,36,505,4,0,0,111.5
Big10,PURDUE,WR4,Jaylan Hornsby,0,0,0,0,0,10,0,24,315,2,0,0,69.5
Big10,PURDUE,TE1,George Burhenn,0,0,0,0,0,0,0,31,365,4,0,0,91.5
Big10,PURDUE,TE2,Kylan Fox,0,0,0,0,0,0,0,19,235,2,0,0,54.5
Big10,PURDUE,K,Jacobo Lozano,0,0,0,0,0,0,0,0,0,0,17,49,100
Big10,RUTGERS,QB1,AJ Surace,219,348,2545,18,10,365,6,0,0,0,0,0,252.3
Big10,RUTGERS,QB2,Dylan Lonergan,30,48,355,3,1,40,0,0,0,0,0,0,35.2
Big10,RUTGERS,RB1,Antwan Raymond,0,0,0,0,0,1275,13,18,145,1,0,0,244
Big10,RUTGERS,RB2,Clay Thevenin,0,0,0,0,0,515,5,10,85,0,0,0,99.5
Big10,RUTGERS,RB3,Ja'shon Benjamin,0,0,0,0,0,255,2,7,55,0,0,0,54.5
Big10,RUTGERS,WR1,KJ Duff,0,0,0,0,0,35,0,69,1145,9,0,0,274
Big10,RUTGERS,WR2,Ben Black,0,0,0,0,0,10,0,44,610,4,0,0,129
Big10,RUTGERS,WR3,Jourdin Houston,0,0,0,0,0,15,0,33,455,3,0,0,97
Big10,RUTGERS,WR4,Michael Thomas III,0,0,0,0,0,10,0,20,285,2,0,0,68.5
Big10,RUTGERS,TE1,Logan Blake,0,0,0,0,0,0,0,28,330,3,0,0,79
Big10,RUTGERS,TE2,Kameron Anthony,0,0,0,0,0,0,0,15,175,1,0,0,38.5
Big10,RUTGERS,K,Jai Patel,0,0,0,0,0,0,0,0,0,0,18,52,106
Big10,UCLA,QB1,Nico Iamaleava,233,356,2650,20,9,525,6,0,0,0,0,0,256.5
Big10,UCLA,QB2,Madden Iamaleava,33,52,395,3,1,55,1,0,0,0,0,0,44.3
Big10,UCLA,RB1,Wayne Knight,0,0,0,0,0,1300,12,28,230,2,0,0,265
Big10,UCLA,RB2,Anthony Woods,0,0,0,0,0,565,5,14,115,1,0,0,126.5
Big10,UCLA,RB3,Jaivian Thomas,0,0,0,0,0,285,3,7,60,0,0,0,60
Big10,UCLA,WR1,Leland Smith,0,0,0,0,0,20,0,67,985,8,0,0,214.5
Big10,UCLA,WR2,Landon Ellis,0,0,0,0,0,15,0,49,710,5,0,0,151
Big10,UCLA,WR3,Mikey Matthews,0,0,0,0,0,45,1,55,655,5,0,0,202.5
Big10,UCLA,WR4,Aidan Mizell,0,0,0,0,0,20,0,27,390,3,0,0,106
Big10,UCLA,TE1,Joshua Phifer,0,0,0,0,0,0,0,30,365,4,0,0,90.5
Big10,UCLA,TE2,Brayden Loftin,0,0,0,0,0,0,0,17,205,2,0,0,49.5
Big10,UCLA,K,Mateen Bhaghani,0,0,0,0,0,0,0,0,0,0,19,61,118
Big10,USC,QB1,Jayden Maiava,261,394,3640,26,8,205,4,0,0,0,0,0,299.1
Big10,USC,QB2,Sam Huard,29,46,365,3,1,15,0,0,0,0,0,0,32.1
Big10,USC,RB1,Waymond Jordan,0,0,0,0,0,955,9,23,185,2,0,0,227
Big10,USC,RB2,King Miller,0,0,0,0,0,565,5,14,125,1,0,0,130.5
Big10,USC,RB3,Riley Wormley,0,0,0,0,0,255,2,6,45,0,0,0,52.5
Big10,USC,WR1,Terrell Anderson,0,0,0,0,0,20,0,66,985,8,0,0,212.5
Big10,USC,WR2,Tanook Hines,0,0,0,0,0,40,1,55,790,6,0,0,214
Big10,USC,WR3,Zacharyus Williams,0,0,0,0,0,10,0,39,565,4,0,0,120.5
Big10,USC,WR4,Corey Simms,0,0,0,0,0,15,0,24,355,3,0,0,78.5
Big10,USC,TE1,Mark Bowman,0,0,0,0,0,0,0,32,405,4,0,0,96.5
Big10,USC,TE2,Tucker Ashcraft,0,0,0,0,0,0,0,17,210,2,0,0,50
Big10,USC,K,Ryon Sayeri,0,0,0,0,0,0,0,0,0,0,19,66,123
Big10,WASHINGTON,QB1,Demond Williams Jr.,247,372,3185,25,8,645,9,0,0,0,0,0,381.9
Big10,WASHINGTON,QB2,Elijah Brown,31,49,395,3,1,20,0,0,0,0,0,0,33.8
Big10,WASHINGTON,RB1,Jayden Limar,0,0,0,0,0,835,8,19,155,1,0,0,179.5
Big10,WASHINGTON,RB2,Jordan Washington,0,0,0,0,0,575,5,15,125,1,0,0,129.5
Big10,WASHINGTON,RB3,Brian Bonner Jr.,0,0,0,0,0,255,2,8,65,0,0,0,61.5
Big10,WASHINGTON,WR1,Christian Moss,0,0,0,0,0,15,0,63,945,8,0,0,222
Big10,WASHINGTON,WR2,Rashid Williams,0,0,0,0,0,20,0,56,825,6,0,0,194.5
Big10,WASHINGTON,WR3,Dezmen Roebuck,0,0,0,0,0,10,0,39,565,4,0,0,120.5
Big10,WASHINGTON,WR4,Chris Lawson,0,0,0,0,0,10,0,24,335,2,0,0,69.5
Big10,WASHINGTON,TE1,Decker DeGraaf,0,0,0,0,0,0,0,30,385,4,0,0,92.5
Big10,WASHINGTON,TE2,Kade Eldridge,0,0,0,0,0,0,0,18,225,2,0,0,52.5
Big10,WASHINGTON,K,Tyler Robles,0,0,0,0,0,0,0,0,0,0,18,63,117
Big10,WISCONSIN,QB1,Colton Joseph,212,332,2445,17,10,395,6,0,0,0,0,0,263.3
Big10,WISCONSIN,QB2,Deuce Adams,24,38,285,2,1,45,0,0,0,0,0,0,28.9
Big10,WISCONSIN,RB1,Abu Sama III,0,0,0,0,0,965,9,16,125,1,0,0,185
Big10,WISCONSIN,RB2,Darrion Dupree,0,0,0,0,0,645,6,13,105,1,0,0,147
Big10,WISCONSIN,RB3,Bryan Jackson II,0,0,0,0,0,255,2,5,40,0,0,0,51.5
Big10,WISCONSIN,WR1,Eugene Hilton Jr.,0,0,0,0,0,15,0,49,685,5,0,0,148.5
Big10,WISCONSIN,WR2,Chris Brooks Jr.,0,0,0,0,0,10,0,36,485,3,0,0,102.5
Big10,WISCONSIN,WR3,Tyrell Henry,0,0,0,0,0,15,0,29,395,3,0,0,87.5
Big10,WISCONSIN,WR4,Jaylon Domingeaux,0,0,0,0,0,10,0,18,240,2,0,0,54
Big10,WISCONSIN,TE1,Jacob Harris,0,0,0,0,0,0,0,27,325,3,0,0,77.5
Big10,WISCONSIN,TE2,Grant Stec,0,0,0,0,0,0,0,16,185,1,0,0,40.5
Big10,WISCONSIN,K,Gavin Lahm,0,0,0,0,0,0,0,0,0,0,17,41,92
ACC,BOSTON COLLEGE,QB1,Mason McKenzie,219,341,2485,18,10,315,5,0,0,0,0,0,238.9
ACC,BOSTON COLLEGE,QB2,Grayson Wilson,24,39,285,2,1,35,0,0,0,0,0,0,27.9
ACC,BOSTON COLLEGE,RB1,Evan Dickens,0,0,0,0,0,1045,10,18,145,1,0,0,218.5
ACC,BOSTON COLLEGE,RB2,Nolan Ray,0,0,0,0,0,565,5,11,85,0,0,0,106.5
ACC,BOSTON COLLEGE,RB3,Bo MacCormack III,0,0,0,0,0,255,2,5,40,0,0,0,51.5
ACC,BOSTON COLLEGE,WR1,Javarius Green,0,0,0,0,0,15,0,56,785,6,0,0,173.5
ACC,BOSTON COLLEGE,WR2,Reed Swanson,0,0,0,0,0,10,0,39,545,4,0,0,118.5
ACC,BOSTON COLLEGE,WR3,Jaedn Skeete,0,0,0,0,0,15,0,31,435,3,0,0,94.5
ACC,BOSTON COLLEGE,WR4,Dawson Pough,0,0,0,0,0,10,0,18,245,2,0,0,54.5
ACC,BOSTON COLLEGE,TE1,Kaelan Chudzinski,0,0,0,0,0,0,0,29,345,3,0,0,81.5
ACC,BOSTON COLLEGE,TE2,Cameron Kossmann,0,0,0,0,0,0,0,15,175,1,0,0,38.5
ACC,BOSTON COLLEGE,K,Luca Lombardo,0,0,0,0,0,0,0,0,0,0,17,44,95
ACC,CALIFORNIA,QB1,Jaron-Keawe Sagapolutele,236,358,2875,22,10,405,7,0,0,0,0,0,309.5
ACC,CALIFORNIA,QB2,Jackson Brousseau,22,36,255,2,1,30,0,0,0,0,0,0,23.2
ACC,CALIFORNIA,RB1,Adam Mohammed,0,0,0,0,0,985,9,20,165,1,0,0,196.5
ACC,CALIFORNIA,RB2,Ashten Emory,0,0,0,0,0,545,5,12,95,0,0,0,107.5
ACC,CALIFORNIA,RB3,Carter Vegas,0,0,0,0,0,235,2,5,45,0,0,0,50.5
ACC,CALIFORNIA,WR1,Ian Strong,0,0,0,0,0,20,0,63,925,7,0,0,199.5
ACC,CALIFORNIA,WR2,Chase Hendricks,0,0,0,0,0,15,0,58,845,6,0,0,179
ACC,CALIFORNIA,WR3,Cooper Perry,0,0,0,0,0,15,0,34,475,4,0,0,108
ACC,CALIFORNIA,WR4,Jordan King,0,0,0,0,0,10,0,19,255,2,0,0,58.5
ACC,CALIFORNIA,TE1,Dorian Thomas,0,0,0,0,0,0,0,28,345,3,0,0,80.5
ACC,CALIFORNIA,TE2,Mason Mini,0,0,0,0,0,0,0,14,170,1,0,0,37
ACC,CALIFORNIA,K,Chase Meyer,0,0,0,0,0,0,0,0,0,0,18,47,101
ACC,CLEMSON,QB1,Christopher Vizzina,248,372,3235,28,9,365,6,0,0,0,0,0,328.9
ACC,CLEMSON,QB2,Chris Denson,24,38,285,2,1,45,1,0,0,0,0,0,35.9
ACC,CLEMSON,RB1,Gideon Davidson,0,0,0,0,0,1085,11,19,165,1,0,0,220.5
ACC,CLEMSON,RB2,Chris Johnson Jr.,0,0,0,0,0,585,5,16,145,1,0,0,135.5
ACC,CLEMSON,RB3,David Eziomume,0,0,0,0,0,275,3,6,50,0,0,0,59
ACC,CLEMSON,WR1,Bryant Wesco Jr.,0,0,0,0,0,25,0,74,1125,10,0,0,271.5
ACC,CLEMSON,WR2,T.J. Moore,0,0,0,0,0,20,0,67,1015,8,0,0,236.5
ACC,CLEMSON,WR3,Naeem Burroughs,0,0,0,0,0,15,0,43,625,5,0,0,136
ACC,CLEMSON,WR4,Cole Turner,0,0,0,0,0,10,0,24,345,3,0,0,76.5
ACC,CLEMSON,TE1,Christian Bentancur,0,0,0,0,0,0,0,34,425,5,0,0,106.5
ACC,CLEMSON,TE2,Olsen Patt-Henry,0,0,0,0,0,0,0,17,205,2,0,0,49.5
ACC,CLEMSON,K,Nolan Hauser,0,0,0,0,0,0,0,0,0,0,21,76,139
ACC,DUKE,QB1,Walker Eget,226,347,2685,21,9,245,4,0,0,0,0,0,246.9
ACC,DUKE,QB2,Dan Mahan,23,37,275,2,1,30,0,0,0,0,0,0,25
ACC,DUKE,RB1,Nate Sheppard,0,0,0,0,0,1315,12,36,275,1,0,0,277
ACC,DUKE,RB2,CJ Campbell Jr.,0,0,0,0,0,565,5,13,105,1,0,0,124.5
ACC,DUKE,RB3,Wilhelm Daal,0,0,0,0,0,235,2,5,40,0,0,0,50.5
ACC,DUKE,WR1,Jared Richardson,0,0,0,0,0,15,0,58,825,7,0,0,183
ACC,DUKE,WR2,Javen Nicholas,0,0,0,0,0,10,0,43,595,4,0,0,126.5
ACC,DUKE,WR3,Jayden Moore,0,0,0,0,0,15,0,34,465,3,0,0,96.5
ACC,DUKE,WR4,Jaivon Solomon,0,0,0,0,0,10,0,21,285,2,0,0,61.5
ACC,DUKE,TE1,Jeremiah Hasley,0,0,0,0,0,0,0,31,365,4,0,0,91.5
ACC,DUKE,TE2,Nate Kurisky,0,0,0,0,0,0,0,15,175,1,0,0,38.5
ACC,DUKE,K,Cosme Salas,0,0,0,0,0,0,0,0,0,0,18,48,102
ACC,FLORIDA STATE,QB1,Ashton Daniels,225,358,2645,19,10,560,7,0,0,0,0,0,291.8
ACC,FLORIDA STATE,QB2,Kevin Sperry,25,40,300,2,1,75,1,0,0,0,0,0,39.5
ACC,FLORIDA STATE,RB1,Quintrevion Wisner,0,0,0,0,0,840,8,22,185,1,0,0,178.5
